epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9897,4.26277,4.14588,3.95149,0,0,0,0,3.22038,4.23441,3.06273,0.000649123,0.000649123,0.000649123
2,65.5746,2.78819,1.79693,2.18397,0.30117,0.25524,0.19591,0.06034,2.61952,2.30581,2.05231,0.00130928,0.00130928,0.00130928
3,93.243,2.47458,1.54358,1.70055,0.35016,0.32649,0.25774,0.07533,2.39687,2.12738,1.71953,0.00196283,0.00196283,0.00196283
4,120.363,2.32003,1.4425,1.56275,0.53323,0.43922,0.45446,0.17108,2.24162,1.54627,1.58162,0.0019703,0.0019703,0.0019703
5,147.706,2.12259,1.31914,1.43773,0.62797,0.5171,0.55539,0.22767,2.04593,1.66516,1.45739,0.0019604,0.0019604,0.0019604
6,174.743,1.97623,1.24197,1.36038,0.51739,0.51423,0.43677,0.18444,2.01483,1.3843,1.42783,0.0019505,0.0019505,0.0019505
7,201.948,1.94283,1.19753,1.31285,0.65483,0.52747,0.58919,0.27232,1.81686,1.47768,1.31539,0.0019406,0.0019406,0.0019406
8,229.275,1.88902,1.17186,1.27382,0.66549,0.56717,0.63397,0.28926,1.79569,1.08565,1.28671,0.0019307,0.0019307,0.0019307
9,256.391,1.85029,1.12708,1.24201,0.72349,0.5985,0.67835,0.33967,1.6308,1.10092,1.23952,0.0019208,0.0019208,0.0019208
10,283.569,1.79692,1.09912,1.22209,0.74299,0.61394,0.70311,0.34018,1.68285,1.09101,1.22955,0.0019109,0.0019109,0.0019109
11,310.923,1.76485,1.07532,1.20535,0.76772,0.63247,0.72126,0.34847,1.68019,0.98483,1.22535,0.001901,0.001901,0.001901
12,338.039,1.73,1.05279,1.18658,0.74425,0.61835,0.6992,0.32326,1.70976,1.00408,1.22535,0.0018911,0.0018911,0.0018911
13,365.154,1.68281,1.01991,1.1663,0.73986,0.62387,0.70959,0.34821,1.58407,1.08639,1.18489,0.0018812,0.0018812,0.0018812
14,392.056,1.70302,1.02631,1.17385,0.76884,0.64836,0.72516,0.36722,1.56216,1.01133,1.18054,0.0018713,0.0018713,0.0018713
15,419.141,1.64719,0.98662,1.14514,0.78782,0.65609,0.75012,0.3942,1.49803,0.91129,1.14643,0.0018614,0.0018614,0.0018614
16,446.148,1.65386,0.99172,1.13962,0.76163,0.64615,0.74098,0.39357,1.49524,0.89977,1.14458,0.0018515,0.0018515,0.0018515
17,473.123,1.63186,0.9827,1.13511,0.77043,0.6585,0.74886,0.40013,1.47289,0.92442,1.12866,0.0018416,0.0018416,0.0018416
18,502.256,1.61129,0.96253,1.13252,0.79758,0.67218,0.75893,0.39393,1.54162,0.9659,1.14249,0.0018317,0.0018317,0.0018317
19,529.695,1.56903,0.94447,1.1151,0.77666,0.6682,0.75422,0.4087,1.42406,0.91655,1.1129,0.0018218,0.0018218,0.0018218
20,557.17,1.59053,0.94,1.11751,0.79291,0.68895,0.76742,0.40754,1.47085,0.95547,1.12112,0.0018119,0.0018119,0.0018119
21,584.325,1.57445,0.92877,1.10326,0.79863,0.6763,0.77762,0.41176,1.48517,0.86307,1.12999,0.001802,0.001802,0.001802
22,611.355,1.57126,0.92993,1.11006,0.79439,0.69976,0.78854,0.43581,1.39502,0.82382,1.10135,0.0017921,0.0017921,0.0017921
23,638.059,1.55636,0.91814,1.10861,0.80477,0.67637,0.77312,0.39775,1.48171,0.86507,1.1238,0.0017822,0.0017822,0.0017822
24,665.275,1.54442,0.91014,1.09197,0.80629,0.69998,0.78979,0.42032,1.45148,0.86402,1.1085,0.0017723,0.0017723,0.0017723
25,692.294,1.55974,0.9117,1.09414,0.81245,0.68903,0.78167,0.42097,1.44223,0.83054,1.10169,0.0017624,0.0017624,0.0017624
26,719.305,1.4956,0.88489,1.08113,0.80892,0.67505,0.76888,0.40727,1.43694,0.86133,1.09934,0.0017525,0.0017525,0.0017525
27,746.684,1.50693,0.88327,1.07825,0.82346,0.71211,0.80472,0.44878,1.36593,0.83295,1.08689,0.0017426,0.0017426,0.0017426
28,773.936,1.51214,0.88436,1.08079,0.82755,0.70081,0.80378,0.4533,1.33852,0.79709,1.06866,0.0017327,0.0017327,0.0017327
29,801.841,1.49084,0.87786,1.07229,0.79611,0.6627,0.75469,0.41338,1.38285,0.85373,1.0793,0.0017228,0.0017228,0.0017228
30,829.03,1.49247,0.87683,1.06133,0.81162,0.70571,0.79689,0.43726,1.40155,0.82983,1.08829,0.0017129,0.0017129,0.0017129
31,856.903,1.48829,0.8639,1.07734,0.82002,0.71035,0.80317,0.46166,1.31934,0.77479,1.05729,0.001703,0.001703,0.001703
32,884.208,1.45311,0.84422,1.06407,0.82846,0.71101,0.80447,0.46216,1.30982,0.79089,1.0558,0.0016931,0.0016931,0.0016931
33,911.898,1.46887,0.84499,1.0596,0.81466,0.69755,0.7882,0.4379,1.33759,0.78841,1.0659,0.0016832,0.0016832,0.0016832
34,939.314,1.45553,0.84274,1.0561,0.83768,0.71167,0.812,0.47007,1.31217,0.77264,1.05669,0.0016733,0.0016733,0.0016733
35,967.246,1.44461,0.83962,1.05624,0.8319,0.71829,0.81267,0.46221,1.29805,0.77594,1.05327,0.0016634,0.0016634,0.0016634
36,995.177,1.45096,0.84307,1.05238,0.84924,0.7257,0.82648,0.47372,1.3049,0.75089,1.05161,0.0016535,0.0016535,0.0016535
37,1023.02,1.43847,0.83716,1.04863,0.84,0.72402,0.81506,0.45916,1.3117,0.78886,1.05245,0.0016436,0.0016436,0.0016436
38,1049.92,1.42536,0.8266,1.04463,0.81759,0.72336,0.81046,0.45456,1.31973,0.77683,1.05454,0.0016337,0.0016337,0.0016337
39,1077.07,1.42197,0.81914,1.04159,0.84174,0.73197,0.81827,0.47195,1.27776,0.78528,1.04193,0.0016238,0.0016238,0.0016238
40,1104.61,1.40935,0.81459,1.04427,0.82496,0.72557,0.81397,0.47206,1.27804,0.76121,1.04559,0.0016139,0.0016139,0.0016139
41,1132.75,1.40575,0.81512,1.03571,0.83561,0.7066,0.80638,0.44225,1.32955,0.7687,1.05132,0.001604,0.001604,0.001604
42,1160.65,1.4263,0.8143,1.04148,0.83481,0.72822,0.81558,0.47131,1.2711,0.78226,1.0369,0.0015941,0.0015941,0.0015941
43,1187.63,1.44998,0.82241,1.04567,0.86918,0.73417,0.83753,0.49804,1.23522,0.72638,1.02352,0.0015842,0.0015842,0.0015842
44,1215.17,1.40884,0.80545,1.03706,0.85441,0.72888,0.83345,0.48487,1.27458,0.72508,1.03629,0.0015743,0.0015743,0.0015743
45,1243.35,1.44065,0.81988,1.04863,0.84686,0.72733,0.81655,0.45997,1.33638,0.76402,1.07608,0.0015644,0.0015644,0.0015644
46,1270.88,1.39495,0.79502,1.02442,0.85005,0.73572,0.83526,0.48189,1.29207,0.73926,1.04079,0.0015545,0.0015545,0.0015545
47,1298.37,1.39158,0.79401,1.03346,0.8467,0.72496,0.82444,0.46568,1.30633,0.72248,1.04642,0.0015446,0.0015446,0.0015446
48,1325.52,1.38127,0.79372,1.02344,0.85297,0.74233,0.83262,0.4841,1.25263,0.74463,1.03387,0.0015347,0.0015347,0.0015347
49,1352.63,1.39495,0.79131,1.02124,0.84433,0.73263,0.82678,0.48161,1.25188,0.72911,1.03479,0.0015248,0.0015248,0.0015248
50,1379.91,1.38078,0.78541,1.02422,0.84767,0.73411,0.82922,0.4841,1.255,0.72408,1.02872,0.0015149,0.0015149,0.0015149
51,1407.25,1.36848,0.77846,1.015,0.85137,0.74035,0.83501,0.49009,1.24974,0.71615,1.03226,0.001505,0.001505,0.001505
52,1435.53,1.35668,0.76866,1.01376,0.84321,0.73704,0.82867,0.48289,1.2434,0.71876,1.0251,0.0014951,0.0014951,0.0014951
53,1462.82,1.36004,0.76413,1.01569,0.84906,0.74035,0.83247,0.48342,1.26027,0.71158,1.03364,0.0014852,0.0014852,0.0014852
54,1490.06,1.34458,0.75977,1.01435,0.84359,0.73417,0.82017,0.47692,1.26915,0.74119,1.02795,0.0014753,0.0014753,0.0014753
55,1517.6,1.3446,0.76482,1.01389,0.87466,0.74255,0.84738,0.50654,1.21777,0.696,1.02006,0.0014654,0.0014654,0.0014654
56,1544.92,1.37371,0.77154,1.02261,0.8729,0.75314,0.85099,0.51103,1.21966,0.68829,1.01697,0.0014555,0.0014555,0.0014555
57,1572.47,1.33437,0.75766,1.01241,0.86146,0.76748,0.8522,0.51717,1.18939,0.68579,1.01354,0.0014456,0.0014456,0.0014456
58,1600.73,1.34666,0.77319,1.01505,0.84476,0.7441,0.83296,0.4937,1.22273,0.70843,1.01705,0.0014357,0.0014357,0.0014357
59,1628.33,1.33786,0.75512,1.01007,0.84914,0.74697,0.83979,0.50365,1.1973,0.70814,1.00632,0.0014258,0.0014258,0.0014258
60,1656.22,1.32114,0.75481,1.00506,0.85561,0.74902,0.84178,0.50595,1.19663,0.6927,1.00923,0.0014159,0.0014159,0.0014159
61,1683.64,1.33713,0.75088,1.01199,0.8535,0.73899,0.83429,0.48135,1.27236,0.70176,1.03307,0.001406,0.001406,0.001406
62,1711.17,1.35809,0.75847,1.01086,0.8576,0.75976,0.85021,0.51262,1.1912,0.68231,1.00701,0.0013961,0.0013961,0.0013961
63,1738.64,1.33006,0.74303,1.00313,0.84735,0.74255,0.83435,0.48236,1.2384,0.6941,1.01913,0.0013862,0.0013862,0.0013862
64,1766.24,1.31478,0.7397,1.00929,0.87183,0.74035,0.84133,0.50709,1.1948,0.67655,1.00796,0.0013763,0.0013763,0.0013763
65,1793.88,1.33899,0.74544,1.00221,0.86446,0.76307,0.85583,0.52686,1.16365,0.66912,1.00109,0.0013664,0.0013664,0.0013664
66,1821.4,1.31424,0.73843,1.00491,0.86865,0.75403,0.85057,0.50267,1.21481,0.67497,1.01024,0.0013565,0.0013565,0.0013565
67,1848.98,1.31715,0.73622,1.00088,0.86037,0.75932,0.85296,0.52116,1.16768,0.67532,0.99768,0.0013466,0.0013466,0.0013466
68,1876.86,1.31369,0.73153,0.99602,0.86202,0.74697,0.8432,0.49683,1.20925,0.67916,1.01227,0.0013367,0.0013367,0.0013367
69,1904.11,1.30714,0.72671,0.99794,0.8638,0.75226,0.84686,0.51012,1.18982,0.66645,1.00267,0.0013268,0.0013268,0.0013268
